"","rowname","Estimate.x","Std. Error.x","t value.x","Pr(>|t|).x","model.x","Estimate.y","Std. Error.y","t value.y","Pr(>|t|).y","model.y","Estimate","Std. Error","t value","Pr(>|t|)","model"
"22","statemaine",-1.14391512203935,0.452162319165816,-2.52987715595085,0.0115134782544981,"poor.fair.state.year",-1.2226552168417,0.451418182815387,-2.70847578450716,0.00683788234859623,"poor.fair.arrest.demo",-0.948250060253157,0.441080084383281,-2.14983648962297,0.031731782501801,"poor.fair.structural"
"23","statemichigan",-0.832259870198184,0.380245223428859,-2.18874510163017,0.0287714896348707,"poor.fair.state.year",-0.864285878505734,0.380395756613009,-2.27207024126982,0.0232264893486597,"poor.fair.arrest.demo",-0.759594201352186,0.373485957331566,-2.03379588025005,0.0421524264178173,"poor.fair.structural"
"24","stateminnesota",-1.57283633845563,0.355988547319541,-4.4182217385882,0.00001067727673108,"poor.fair.state.year",-1.57441185597633,0.35808582806378,-4.39674439083331,0.0000117802067663033,"poor.fair.arrest.demo",-1.23775312220267,0.350160073338624,-3.53482083322988,0.00042077269506678,"poor.fair.structural"
"25","statemissouri",-0.585425323165607,0.356604707897782,-1.64166459443776,0.100872421293254,"poor.fair.state.year",-0.547688124067835,0.356671149733528,-1.53555487870835,0.124863221271488,"poor.fair.arrest.demo",-0.390500924433557,0.346308635064631,-1.12760955082936,0.259669872918414,"poor.fair.structural"
"26","statemontana",-1.41377960266945,0.357537287058352,-3.95421583662326,0.0000804205045316153,"poor.fair.state.year",-1.50008480411567,0.360074903070073,-4.16603543131064,0.0000328023221572422,"poor.fair.arrest.demo",-1.08913934917563,0.351667033987573,-3.09707548309494,0.00199157881156296,"poor.fair.structural"
"27","statenebraska",-1.67017592184301,0.353895629141257,-4.71940251394391,0.00000258941510919067,"poor.fair.state.year",-1.67014903387039,0.355290863779743,-4.70079364299605,0.00000283483569341619,"poor.fair.arrest.demo",-1.21731568283473,0.347763608625753,-3.50041135024209,0.000478497486950523,"poor.fair.structural"
"28","statenew hampshire",-0.245518841289045,0.610091829401627,-0.402429322041319,0.687426326854131,"poor.fair.state.year",-0.294697756649786,0.606240138915531,-0.486107299290598,0.626963693983736,"poor.fair.arrest.demo",-0.0892717613434172,0.589419643152359,-0.151457051661818,0.879636083264565,"poor.fair.structural"
"29","statenew york",-0.99521328736049,0.606706836119341,-1.64035284936979,0.10114475100562,"poor.fair.state.year",-1.03280335980266,0.602203126876704,-1.71504150959701,0.0865487981086993,"poor.fair.arrest.demo",-1.08601744505639,0.584318348695901,-1.85860575400413,0.063283880304993,"poor.fair.structural"
"30","statenorth carolina",-0.678138126094814,0.429064659314156,-1.58050333760602,0.114205753837827,"poor.fair.state.year",-0.706016716969047,0.425377241380089,-1.65974257268314,0.0971799793121995,"poor.fair.arrest.demo",-0.556624312203941,0.412800941536831,-1.3484085334972,0.177735870103131,"poor.fair.structural"
"31","statenorth dakota",-1.599468451798,0.357202423107719,-4.47776484236128,0.00000812267965770607,"poor.fair.state.year",-1.67430299192106,0.359331421079413,-4.65949508921748,0.00000345717861593241,"poor.fair.arrest.demo",-1.14043279470203,0.352916987342853,-3.2314477217106,0.00125907291527361,"poor.fair.structural"
"32","stateohio",-0.657836244798824,0.359013540644574,-1.83234382641318,0.0671014520035933,"poor.fair.state.year",-0.669894924901343,0.360627162243469,-1.85758310808845,0.0634284930358697,"poor.fair.arrest.demo",-0.481796002903763,0.351812605211862,-1.36946771027043,0.171063435368575,"poor.fair.structural"
"33","stateoklahoma",-0.667747718857408,0.357675887466888,-1.86690728185926,0.0621125271659373,"poor.fair.state.year",-0.81038223776788,0.359597492964882,-2.25358144487126,0.0243696383002361,"poor.fair.arrest.demo",-0.441312043686832,0.351099492253058,-1.25694298460777,0.208975052799386,"poor.fair.structural"
"34","statepennsylvania",-0.857510592627376,0.366389522675944,-2.3404342634159,0.0193938351240172,"poor.fair.state.year",-0.85917689348702,0.365987660893321,-2.34755699520005,0.0190292639498532,"poor.fair.arrest.demo",-0.683982197574985,0.35716386922313,-1.91503748423019,0.0556826670253563,"poor.fair.structural"
"35","statesouth carolina",-0.421829424509268,0.606689165684183,-0.695297441208725,0.486978289702513,"poor.fair.state.year",-0.469586804290096,0.601044390350208,-0.781284730095366,0.434761111483048,"poor.fair.arrest.demo",-0.364856152135063,0.582716636801016,-0.626129629897031,0.531327657610701,"poor.fair.structural"
"36","statesouth dakota",-1.69575668020195,0.356543123622756,-4.75610541292099,0.00000216644387011513,"poor.fair.state.year",-1.75934121724647,0.358515011300897,-4.90730140102801,0.00000102640247314884,"poor.fair.arrest.demo",-1.32579927096778,0.350351285985103,-3.78419981316739,0.000160433612148117,"poor.fair.structural"
"37","statetennessee",-0.0446600093901462,0.397805861590249,-0.11226584045699,0.910627880924605,"poor.fair.state.year",-0.0739904444125318,0.396537429052059,-0.186591325286517,0.852006867926654,"poor.fair.arrest.demo",-0.0898445326896914,0.385103932151419,-0.233299442536893,0.815561550681053,"poor.fair.structural"
